index,LAT,LONG,SPCD,STATECD,PRESENCE
88,31.199559,-88.255584,110,1,1
89,32.119541,-88.25437,110,1,1
90,31.898252,-88.251878,110,1,1
91,31.56,-88.25,110,1,1
92,31.58,-88.25,110,1,1
93,31.69,-88.25,110,1,1
94,31.72,-88.25,110,1,1
95,31.78,-88.25,110,1,1
96,31.86,-88.25,110,1,1
97,31.92,-88.25,110,1,1
98,32.03,-88.25,110,1,1
99,32.08,-88.25,110,1,1
100,32.11,-88.25,110,1,1
101,32.22,-88.25,110,1,1
102,32.31,-88.25,110,1,1
103,32.44,-88.25,110,1,1
104,32.56,-88.25,110,1,1
105,33.78,-88.25,110,1,1
106,33.81,-88.25,110,1,1
107,31.594196,-88.249149,110,1,1
108,32.225019,-88.246036,110,1,1
109,33.775759,-88.237813,110,1,1
110,32.145307,-88.230468,110,1,1
111,31.627084,-88.228673,110,1,1
112,32.67,-88.22,110,1,1
113,33.17,-88.22,110,1,1
114,33.19,-88.22,110,1,1
115,33.47,-88.22,110,1,1
116,33.5,-88.22,110,1,1
117,33.69,-88.22,110,1,1
118,32.123159,-88.211189,110,1,1
119,31.906181,-88.210311,110,1,1
120,32.378913,-88.209933,110,1,1
121,31.408908,-88.20941,110,1,1
122,32.299588,-88.208554,110,1,1
123,32.044045,-88.204225,110,1,1
124,31.86113,-88.201813,110,1,1
125,32.209694,-88.198698,110,1,1
126,32.432016,-88.195582,110,1,1
127,33.384802,-88.194528,110,1,1
128,33.815237,-88.192814,110,1,1
129,33.988594,-88.192492,110,1,1
130,31.58,-88.19,110,1,1
131,31.69,-88.19,110,1,1
132,31.72,-88.19,110,1,1
133,31.78,-88.19,110,1,1
134,31.86,-88.19,110,1,1
135,31.92,-88.19,110,1,1
136,31.94,-88.19,110,1,1
137,32.0,-88.19,110,1,1
138,32.08,-88.19,110,1,1
139,32.11,-88.19,110,1,1
140,32.17,-88.19,110,1,1
141,32.22,-88.19,110,1,1
142,32.31,-88.19,110,1,1
143,32.39,-88.19,110,1,1
144,32.42,-88.19,110,1,1
145,33.19,-88.19,110,1,1
146,33.31,-88.19,110,1,1
147,33.33,-88.19,110,1,1
148,33.39,-88.19,110,1,1
149,33.5,-88.19,110,1,1
150,33.83,-88.19,110,1,1
151,33.86,-88.19,110,1,1
152,33.94,-88.19,110,1,1
153,34.0,-88.19,110,1,1
154,34.08,-88.19,110,1,1
155,34.14,-88.19,110,1,1
156,34.17,-88.19,110,1,1
157,34.084949,-88.1872,110,1,1
158,33.521768,-88.187173,110,1,1
159,33.20399,-88.178616,110,1,1
160,33.248343,-88.178164,110,1,1
161,33.298758,-88.176407,110,1,1
162,32.909359,-88.172076,110,1,1
163,31.72,-88.17,110,1,1
164,32.33,-88.17,110,1,1
165,32.39,-88.17,110,1,1
166,32.42,-88.17,110,1,1
167,32.92,-88.17,110,1,1
168,32.606341,-88.165639,110,1,1
169,32.334149,-88.162849,110,1,1
170,32.158164,-88.157062,110,1,1
171,32.12283,-88.154518,110,1,1
172,31.893792,-88.152609,110,1,1
173,31.366088,-88.151002,110,1,1
174,31.720049,-88.150045,110,1,1
175,32.079743,-88.148712,110,1,1
176,31.643654,-88.148286,110,1,1
177,34.215423,-88.143423,110,1,1
178,33.834137,-88.142976,110,1,1
179,33.1637,-88.142676,110,1,1
